program,completed,error,retired_instructions,conditional_branches,taken_branches,jal,jalr,traps,timer_interrupts,config,update_delay,mispredict_barrier,predicted_taken,correct,mispredictions,accuracy_pct,mispred_per_kinst,alias_switches,alias_associated_misses,static_branches,branch_index_pairs,max_indices_per_branch,pht_bits,history_state_bits,lookup_xor_operands,elapsed_seconds
current,1,"",30761367,12056109,6843049,400095,400089,0,0,BIMODAL,0,1,7264736,10158594,1897515,84.260967,61.685002,12,5,92,92,1,512,0,1,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,GSHARE,0,1,7248066,10810636,1245473,89.669362,40.488220,891736,273284,92,392,51,512,8,2,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,LAST_TARGET_BRANCH,0,1,7235952,10906842,1149267,90.467347,37.360726,1191066,230491,92,388,48,512,16,3,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,LAST_TARGET_ALL_CFI,0,1,7187467,10884939,1171170,90.285672,38.072755,1640130,266364,92,387,48,512,16,3,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,SOURCE_PATH_BRANCH,0,1,7546489,6367785,5688324,52.817912,184.917790,9042809,4663416,92,2692,256,512,16,3,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,SOURCE_PATH_ALL_CFI,0,1,7176536,7709934,4346175,63.950434,141.286797,8397445,3568596,92,2480,256,512,16,3,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,TARGET_PATH_BRANCH,0,1,7579159,6385123,5670986,52.961723,184.354161,9286481,4790869,92,2930,256,512,16,3,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,TARGET_PATH_ALL_CFI,0,1,7579402,6382814,5673295,52.942570,184.429223,9292598,4794856,92,2930,256,512,16,3,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,NEXT_PC_PATH_BRANCH,0,1,7565446,6355918,5700191,52.719480,185.303566,9000258,4675275,92,2928,256,512,16,3,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,NEXT_PC_PATH_ALL_CFI,0,1,7572657,6326397,5729712,52.474617,186.263244,9028297,4701772,92,2929,256,512,16,3,7.042314
current,1,"",30761367,12056109,6843049,400095,400089,0,0,EDGE_PATH_BRANCH,0,1,7394575,6704431,5351678,55.610239,173.973998,7740809,4092069,92,2930,256,512,16,3,7.042314
